invoice_no,invoice_date,vendor_name,vendor_gstin,po_number,line_item_text,amount,gst_rate,category
INV-316AC71C,2026-07-21,State Electricity Board,245135595227Z3,PO-336574,natural gas supply for kiln - State Electricity Board,765587.05,28,Utility
INV-D96CCB93,2026-06-13,Larsen Engg Works,241288335378Z2,,motor overhaul service - Larsen Engg Works,906284.15,28,Maintenance & Spares
INV-49782044,2026-06-10,Shree Minerals Ltd,245897045684Z3,PO-361941,gypsum consignment - Shree Minerals Ltd,188477.85,28,Raw Material
INV-C3DBBF69,2026-08-04,Adani Logistics,247971399399Z2,PO-414910,rail freight for raw material - Adani Logistics,414282.15,18,Logistics
INV-173C29AB,2026-06-16,SafetyFirst Auditors,244159699467Z8,PO-688956,safety compliance audit - SafetyFirst Auditors,912809.89,5,Professional Services
INV-DD05A638,2026-06-28,Konkan Silica Traders,244460967357Z7,PO-263032,fly ash procurement - Konkan Silica Traders,215655.07,18,Raw Material
INV-E7C0121A,2026-07-09,Deloitte Advisory,247561728644Z2,PO-349183,legal advisory retainer - Deloitte Advisory,211146.77,12,Professional Services
INV-79562D5F,2026-08-12,Konkan Silica Traders,249285415473Z5,PO-352572,silica sand delivery - Konkan Silica Traders,468266.58,5,Raw Material
INV-5F332157,2026-07-24,Precision Bearings Pvt Ltd,242390587865Z3,PO-232915,kiln bearing replacement - Precision Bearings Pvt Ltd,132158.64,18,Maintenance & Spares
INV-A376E4AA,2026-07-13,PolyPack Industries,247460544248Z5,,HDPE cement bags supply - PolyPack Industries,435996.83,28,Packaging
INV-3D40CDC1,2026-07-31,AquaFlow Water Supply,242644847276Z7,,power distribution charges - AquaFlow Water Supply,886746.82,12,Utility
INV-E366CDA7,2026-06-13,AquaFlow Water Supply,241158998032Z9,PO-448121,power distribution charges - AquaFlow Water Supply,939085.99,12,Utility
INV-7D4790BB,2026-06-14,Crown Sack Manufacturers,244765583254Z1,PO-732063,jute packaging material - Crown Sack Manufacturers,890285.44,18,Packaging
INV-CA4E30B6,2026-07-29,Rajputana Aggregates,242627677155Z7,PO-922157,fly ash procurement - Rajputana Aggregates,858101.18,12,Raw Material
INV-0E0E7B64,2026-06-18,Bharat Gypsum Supplies,247439149233Z8,,silica sand delivery - Bharat Gypsum Supplies,70349.67,18,Raw Material
INV-4E77D310,2026-07-30,Deloitte Advisory,242343100352Z3,PO-639728,legal advisory retainer - Deloitte Advisory,898552.57,28,Professional Services
INV-3B4A8AD6,2026-08-04,LegalEdge Associates,242548781344Z9,PO-924613,safety compliance audit - LegalEdge Associates,633837.77,5,Professional Services
INV-04DD5BAB,2026-06-03,EnviroCheck Labs,249776913529Z7,PO-365971,statutory audit fees - EnviroCheck Labs,375807.42,28,Professional Services
INV-9871FBC7,2026-06-25,Jute Bags Co,249650425740Z6,PO-695361,printed sack bundles - Jute Bags Co,618684.79,12,Packaging
INV-98647277,2026-06-08,KPMG Consulting,249210290540Z7,PO-929924,environmental impact assessment - KPMG Consulting,339157.26,5,Professional Services
INV-9A69F5F7,2026-07-03,BlueDart Freight,247351029162Z6,PO-153872,freight charges for clinker transport - BlueDart Freight,548768.49,28,Logistics
INV-7060F2E6,2026-07-21,National Transport Corp,244949401194Z9,,container handling charges - National Transport Corp,690178.86,28,Logistics
INV-93EAE181,2026-06-07,Jute Bags Co,242593765711Z9,PO-299734,printed sack bundles - Jute Bags Co,236772.72,12,Packaging
INV-75467ACE,2026-06-15,BlueDart Freight,248299146480Z6,PO-736745,fuel surcharge on transport - BlueDart Freight,900787.11,28,Logistics
INV-16E9D1BE,2026-07-11,Precision Bearings Pvt Ltd,247783763790Z6,PO-757685,conveyor belt spare parts - Precision Bearings Pvt Ltd,904117.2,28,Maintenance & Spares
INV-AE681ED1,2026-07-18,State Electricity Board,247199283151Z4,PO-204180,electricity consumption charges - State Electricity Board,658244.39,12,Utility
INV-2F5F741E,2026-07-03,Gujarat Gas Ltd,246329323383Z3,PO-768891,industrial water supply bill - Gujarat Gas Ltd,82388.19,28,Utility
INV-DFFB51DF,2026-08-09,GreenGrid Energy,247608153267Z6,PO-899929,power distribution charges - GreenGrid Energy,823075.48,28,Utility
INV-C70D314D,2026-07-14,Shree Minerals Ltd,244131356954Z2,,fly ash procurement - Shree Minerals Ltd,341748.31,28,Raw Material
INV-A0F9A8D1,2026-06-06,Gujarat Gas Ltd,245726642606Z3,PO-130353,electricity consumption charges - Gujarat Gas Ltd,416801.13,5,Utility
INV-51B3E03A,2026-08-14,Crown Sack Manufacturers,247858674568Z5,PO-920934,poly liner rolls - Crown Sack Manufacturers,297832.52,5,Packaging
INV-B4390AE4,2026-07-12,National Transport Corp,248164814926Z6,,container handling charges - National Transport Corp,237719.36,28,Logistics
INV-37CF4F2B,2026-06-16,AquaFlow Water Supply,249279291478Z8,PO-608257,electricity consumption charges - AquaFlow Water Supply,199751.86,12,Utility
INV-EECD716D,2026-08-25,Sundar Packaging Solutions,244752171298Z4,PO-716126,printed sack bundles - Sundar Packaging Solutions,642598.95,5,Packaging
INV-1BB245FC,2026-06-06,BlueDart Freight,248612747444Z2,PO-693423,fuel surcharge on transport - BlueDart Freight,658558.78,12,Logistics
INV-A0A11721,2026-06-03,Jute Bags Co,243271361431Z4,PO-892911,laminated pouches order - Jute Bags Co,119752.44,28,Packaging
INV-05321277,2026-08-06,KilnTech Spares,249049270990Z9,PO-845957,motor overhaul service - KilnTech Spares,57153.37,28,Maintenance & Spares
INV-7B821C42,2026-08-06,Speedway Carriers,244803044105Z7,PO-943170,road transportation of cement bags - Speedway Carriers,147012.21,5,Logistics
INV-287B124D,2026-08-25,BlueDart Freight,243668616333Z4,,road transportation of cement bags - BlueDart Freight,195797.76,5,Logistics
INV-A3A928D2,2026-07-15,Rajputana Aggregates,243021598245Z4,PO-582662,silica sand delivery - Rajputana Aggregates,157964.37,5,Raw Material
INV-423D156D,2026-07-25,Conveyor Systems India,243653594796Z2,PO-794093,kiln bearing replacement - Conveyor Systems India,840108.34,12,Maintenance & Spares
INV-B5B62A67,2026-08-14,Gujarat Limestone Co,241664847319Z5,PO-161324,fly ash procurement - Gujarat Limestone Co,664189.2,28,Raw Material
INV-55AED727,2026-08-12,Bharat Gypsum Supplies,249760623742Z2,PO-712024,limestone supply - Bharat Gypsum Supplies,894983.55,12,Raw Material
INV-E294DE74,2026-08-17,Indus Rail Cargo,246600100279Z4,PO-708158,fuel surcharge on transport - Indus Rail Cargo,291494.78,5,Logistics
INV-FFBE2B31,2026-06-08,EcoWrap Pvt Ltd,245484962610Z8,PO-327823,HDPE cement bags supply - EcoWrap Pvt Ltd,428547.48,5,Packaging
INV-64496AD7,2026-08-24,EcoWrap Pvt Ltd,244031281545Z9,PO-440839,poly liner rolls - EcoWrap Pvt Ltd,875130.73,5,Packaging
INV-170AFECB,2026-08-01,Gujarat Gas Ltd,249218363978Z3,PO-964749,industrial water supply bill - Gujarat Gas Ltd,132494.53,18,Utility
INV-71F6356F,2026-08-03,Deloitte Advisory,248487449580Z7,PO-295892,legal advisory retainer - Deloitte Advisory,419608.2,28,Professional Services
INV-18DD756E,2026-08-23,SafetyFirst Auditors,243464975279Z9,PO-429657,legal advisory retainer - SafetyFirst Auditors,426190.81,5,Professional Services
INV-5B6DB017,2026-06-27,Sundar Packaging Solutions,242282044148Z5,PO-839142,poly liner rolls - Sundar Packaging Solutions,464097.66,12,Packaging
INV-CF609E7B,2026-07-25,Larsen Engg Works,243877685081Z7,PO-797660,conveyor belt spare parts - Larsen Engg Works,532101.23,18,Maintenance & Spares
INV-CBFDD15C,2026-07-10,Larsen Engg Works,246340003593Z7,PO-772865,motor overhaul service - Larsen Engg Works,419382.5,28,Maintenance & Spares
INV-235260FF,2026-08-07,National Transport Corp,241822662216Z8,PO-718226,freight charges for clinker transport - National Transport Corp,707793.96,12,Logistics
INV-D045D78E,2026-06-23,KilnTech Spares,242409274786Z1,PO-551574,conveyor belt spare parts - KilnTech Spares,727839.56,18,Maintenance & Spares
INV-55FB3901,2026-07-08,BlueDart Freight,248352307139Z8,PO-197573,road transportation of cement bags - BlueDart Freight,686310.33,28,Logistics
INV-69D35CAF,2026-08-01,LegalEdge Associates,245577353273Z7,PO-853789,tax consulting services - LegalEdge Associates,130244.5,5,Professional Services
INV-D0D5080C,2026-08-15,MotorTech Industries,243200510647Z6,PO-397005,preventive maintenance service - MotorTech Industries,424405.62,18,Maintenance & Spares
INV-9965C937,2026-06-30,Konkan Silica Traders,243479708607Z2,,silica sand delivery - Konkan Silica Traders,789299.19,18,Raw Material
INV-99EE3C9D,2026-06-11,Gujarat Limestone Co,249776552803Z8,PO-496922,limestone supply - Gujarat Limestone Co,95366.58,5,Raw Material
INV-74452912,2026-07-20,GreenGrid Energy,248259841263Z8,PO-308894,natural gas supply for kiln - GreenGrid Energy,609880.26,28,Utility
INV-CBFDD15C,2026-07-10,Larsen Engg Works,246340003593Z7,PO-514991,kiln bearing replacement - Larsen Engg Works,419382.5,5,Maintenance & Spares
INV-EE729383,2026-07-09,MotorTech Industries,246242086783Z1,,preventive maintenance service - MotorTech Industries,636438.87,5,Maintenance & Spares
INV-3D3F48DA,2026-06-26,Konkan Silica Traders,241939042955Z9,PO-688508,fly ash procurement - Konkan Silica Traders,37939.28,5,Raw Material
